Frame,ID,minx,miny,width,height
7,1,361.1455108,302.5321101,96.17131063,259.0235092
8,1,343.9731682,305.1743119,96.17131063,259.0235092
9,1,322.8379773,305.1743119,96.17131063,259.0235092
10,1,292.4561404,310.4587156,96.17131063,259.0235092
11,1,270,310.4587156,110.4334365,259.0235092
12,1,238.2972136,311.7798165,110.4334365,259.0235092
13,1,196.0268318,311.7798165,124.9638803,259.0235092
14,1,159.8348813,314.4220183,149.2672859,262.8990826
15,1,137.378741,306.4954128,106.996904,262.8990826
16,1,113.6016512,299.8899083,95.10835913,262.8990826
17,1,89.8245614,311.7798165,110.9597523,262.8990826
18,1,52.8379773,301.2110092,105.6759546,262.8990826
19,1,15.85139319,298.5688073,129.4530444,262.8990826
20,1,6.604747162,301.2110092,109.6388029,257.6146789
21,1,11.88854489,295.9266055,95.10835913,256.293578
22,1,7.925696594,294.6055046,95.10835913,256.293578
23,1,0,298.5688073,95.10835913,256.293578
24,1,0,298.5688073,95.10835913,239.1192661
25,1,0,298.5688073,89.8245614,236.4770642
26,1,7.925696594,299.8899083,89.8245614,236.4770642
27,1,23.77708978,294.6055046,83.21981424,225.9082569
28,1,36.98658411,293.2844037,79.25696594,229.8715596
29,1,55.47987616,297.2477064,79.25696594,229.8715596
74,1,505.9236326,299.8899083,48.875129,183.6330275
75,1,524.4169247,303.853211,48.875129,173.0642202
76,1,536.3054696,313.1009174,48.875129,173.0642202
77,1,528.379773,306.4954128,63.40557276,173.0642202
78,1,540.2683179,309.1376147,63.40557276,173.0642202
79,1,545.5521156,313.1009174,63.40557276,173.0642202
80,1,553.4778122,314.4220183,59.44272446,183.6330275
81,1,557.4406605,306.4954128,59.44272446,187.5963303
83,1,565.3663571,311.7798165,59.44272446,187.5963303
84,1,557.4406605,297.2477064,75.29411765,208.733945
85,1,569.3292054,310.4587156,66.04747162,215.3394495
82,1,557.4406605,306.4954128,59.44272446,187.5963303
86,1,568.4458375,311.3421512,66.04747162,215.3394495
87,1,565.795734,304.2746665,71.99584639,223.1363764
154,1,586.501548,382.1181193,91.14551084,151.6066514
100,1,547.6880607,323.7102493,90.10351967,250.5228795
412,1,310.4231166,332.9174312,186.25387,387.0825688
88,1,569.3292054,310.4587156,66.04747162,215.3394495
89,1,568.4458375,312.2255868,66.04747162,215.3394495
90,1,558.2884748,310.4587156,83.91994479,234.621039
91,1,555.6383713,310.4587156,84.80331263,249.6394439
92,1,556.5217391,311.3421512,78.61973775,249.6394439
93,1,555.6383713,310.4587156,87.45341615,249.6394439
94,1,543.2712215,310.4587156,113.0710835,249.6394439
95,1,542.3878537,310.4587156,118.3712905,249.6394439
96,1,539.7377502,321.0599426,121.0213941,248.7560083
97,1,547.6880607,323.7102493,108.6542443,250.5228795
98,1,547.6880607,323.7102493,108.6542443,250.5228795
99,1,547.6880607,323.7102493,98.05383023,250.5228795
101,1,555.6383713,329.5214724,86.57004831,244.7116564
102,1,564.4720497,331.2883436,86.57004831,244.7116564
103,1,564.4720497,331.2883436,104.2374051,244.7116564
104,1,578.6059351,341.8895706,125.4382333,227.9263804
105,1,600.6901311,357.791411,111.3043478,220.8588957
106,1,600.6901311,371.9263804,109.5376121,206.7239264
107,1,600.6901311,386.9447853,102.4706694,191.7055215
108,1,600.6901311,391.3619632,99.82056591,187.2883436
109,1,600.6901311,386.0613497,99.82056591,192.5889571
110,1,600.6901311,373.6932515,102.4706694,204.9570552
111,1,600.6901311,370.1595092,102.4706694,208.4907975
112,1,600.6901311,369.2760736,98.05383023,209.3742331
113,1,607.7570738,370.1595092,88.33678399,209.3742331
114,1,607.7570738,374.5766871,84.80331263,219.0920245
115,1,605.9903382,377.2269939,89.22015183,218.208589
